Generator,Run,Loss,Time,Fit,Cos Sim,Est Rank
rand,1,normal,1.649139,0.811073,0.981991,32.000000,
rand,1,rayleigh,0.728593,0.788527,0.981994,32.000000,
rand,1,gamma,0.437075,0.810961,0.981985,32.000000,
rand,1,huber (0.25),0.067245,0.000636,0.173556,32.000000,
rand,1,beta (0.3),0.667573,0.811068,0.981990,32.000000,
rand,2,normal,0.206561,0.811049,0.981987,32.000000,
rand,2,rayleigh,0.730084,0.788533,0.981989,32.000000,
rand,2,gamma,0.441670,0.810933,0.981981,32.000000,
rand,2,huber (0.25),0.037240,0.000637,0.173802,32.000000,
rand,2,beta (0.3),0.596757,0.811045,0.981986,32.000000,
rand,3,normal,0.197927,0.811042,0.981985,32.000000,
rand,3,rayleigh,0.692209,0.788511,0.981988,32.000000,
rand,3,gamma,0.445494,0.810937,0.981979,32.000000,
rand,3,huber (0.25),0.028591,0.000636,0.173475,32.000000,
rand,3,beta (0.3),0.603301,0.811039,0.981985,32.000000,
rand,4,normal,0.194331,0.811065,0.981990,32.000000,
rand,4,rayleigh,0.734618,0.788503,0.981991,32.000000,
rand,4,gamma,0.404012,0.810969,0.981984,32.000000,
rand,4,huber (0.25),0.026436,0.000638,0.174039,32.000000,
rand,4,beta (0.3),0.609598,0.811058,0.981988,32.000000,
rand,5,normal,0.286216,0.811014,0.981980,32.000000,
rand,5,rayleigh,0.706449,0.788507,0.981982,32.000000,
rand,5,gamma,0.455638,0.811006,0.981978,32.000000,
rand,5,huber (0.25),0.029195,0.000637,0.173728,32.000000,
rand,5,beta (0.3),0.599453,0.811004,0.981978,32.000000,
rand,6,normal,0.190869,0.810865,0.981951,32.000000,
rand,6,rayleigh,0.640746,0.788380,0.981954,32.000000,
rand,6,gamma,0.431515,0.810864,0.981951,32.000000,
rand,6,huber (0.25),0.024952,0.000636,0.173428,32.000000,
rand,6,beta (0.3),0.586381,0.810862,0.981950,32.000000,
rand,7,normal,0.215129,0.811030,0.981983,32.000000,
rand,7,rayleigh,0.713859,0.788500,0.981986,32.000000,
rand,7,gamma,0.467946,0.810916,0.981976,32.000000,
rand,7,huber (0.25),0.029489,0.000636,0.173507,32.000000,
rand,7,beta (0.3),0.608193,0.811024,0.981982,32.000000,
rand,8,normal,0.201748,0.811045,0.981986,32.000000,
rand,8,rayleigh,0.677954,0.788523,0.981989,32.000000,
rand,8,gamma,0.430761,0.810932,0.981979,32.000000,
rand,8,huber (0.25),0.047297,0.000636,0.173467,32.000000,
rand,8,beta (0.3),0.589037,0.811042,0.981985,32.000000,
rand,9,normal,0.210688,0.811021,0.981981,32.000000,
rand,9,rayleigh,0.704756,0.788507,0.981984,32.000000,
rand,9,gamma,0.414888,0.810895,0.981974,32.000000,
rand,9,huber (0.25),0.024677,0.000636,0.173696,32.000000,
rand,9,beta (0.3),0.606479,0.811014,0.981980,32.000000,
rand,10,normal,0.236784,0.810888,0.981956,32.000000,
rand,10,rayleigh,0.639946,0.788383,0.981958,32.000000,
rand,10,gamma,0.440491,0.810786,0.981950,32.000000,
rand,10,huber (0.25),0.025230,0.000636,0.173668,32.000000,
rand,10,beta (0.3),0.576641,0.810883,0.981955,32.000000,
rand,11,normal,0.194815,0.811112,0.981999,32.000000,
rand,11,rayleigh,0.664717,0.788576,0.982002,32.000000,
rand,11,gamma,0.413186,0.811006,0.981993,32.000000,
rand,11,huber (0.25),0.025522,0.000636,0.173604,32.000000,
rand,11,beta (0.3),0.601985,0.811110,0.981998,32.000000,
rand,12,normal,0.207182,0.811084,0.981993,32.000000,
rand,12,rayleigh,0.643992,0.788564,0.981996,32.000000,
rand,12,gamma,0.423170,0.811079,0.981992,32.000000,
rand,12,huber (0.25),0.024730,0.000636,0.173562,32.000000,
rand,12,beta (0.3),0.627481,0.811076,0.981992,32.000000,
rand,13,normal,0.194463,0.811156,0.982007,32.000000,
rand,13,rayleigh,0.687515,0.788591,0.982010,32.000000,
rand,13,gamma,0.450334,0.811043,0.982001,32.000000,
rand,13,huber (0.25),0.028987,0.000636,0.173555,32.000000,
rand,13,beta (0.3),0.626078,0.811150,0.982006,32.000000,
rand,14,normal,0.198408,0.810989,0.981975,32.000000,
rand,14,rayleigh,0.680791,0.788506,0.981979,32.000000,
rand,14,gamma,0.393979,0.810875,0.981969,32.000000,
rand,14,huber (0.25),0.026933,0.000635,0.173158,32.000000,
rand,14,beta (0.3),0.597865,0.810990,0.981975,32.000000,
rand,15,normal,0.210632,0.811110,0.981998,32.000000,
rand,15,rayleigh,0.705712,0.788538,0.982001,32.000000,
rand,15,gamma,0.409315,0.811004,0.981993,32.000000,
rand,15,huber (0.25),0.027152,0.000636,0.173653,32.000000,
rand,15,beta (0.3),0.593689,0.811105,0.981997,32.000000,
rand,16,normal,0.188442,0.810932,0.981964,32.000000,
rand,16,rayleigh,0.633961,0.788436,0.981967,32.000000,
rand,16,gamma,0.422528,0.810928,0.981963,32.000000,
rand,16,huber (0.25),0.023511,0.000636,0.173575,32.000000,
rand,16,beta (0.3),0.577934,0.810926,0.981963,32.000000,
rand,17,normal,0.190164,0.811096,0.981996,32.000000,
rand,17,rayleigh,0.708283,0.788552,0.981999,32.000000,
rand,17,gamma,0.434312,0.810996,0.981990,32.000000,
rand,17,huber (0.25),0.024714,0.000636,0.173377,32.000000,
rand,17,beta (0.3),0.616740,0.811095,0.981995,32.000000,
rand,18,normal,0.184225,0.811131,0.982002,32.000000,
rand,18,rayleigh,0.617189,0.788597,0.982005,32.000000,
rand,18,gamma,0.396601,0.811128,0.982002,32.000000,
rand,18,huber (0.25),0.024782,0.000636,0.173579,32.000000,
rand,18,beta (0.3),0.588582,0.811126,0.982001,32.000000,
rand,19,normal,0.204271,0.811020,0.981981,32.000000,
rand,19,rayleigh,0.661810,0.788509,0.981983,32.000000,
rand,19,gamma,0.450701,0.811012,0.981979,32.000000,
rand,19,huber (0.25),0.027192,0.000637,0.173746,32.000000,
rand,19,beta (0.3),0.607713,0.811010,0.981979,32.000000,
rand,20,normal,0.190063,0.811065,0.981990,32.000000,
rand,20,rayleigh,0.618066,0.788556,0.981992,32.000000,
rand,20,gamma,0.420763,0.810953,0.981983,32.000000,
rand,20,huber (0.25),0.024017,0.000636,0.173656,32.000000,
rand,20,beta (0.3),0.572978,0.811061,0.981989,32.000000,
rand,21,normal,0.192957,0.811247,0.982025,32.000000,
rand,21,rayleigh,0.679342,0.788661,0.982026,32.000000,
rand,21,gamma,0.439740,0.811237,0.982023,32.000000,
rand,21,huber (0.25),0.025146,0.000638,0.174026,32.000000,
rand,21,beta (0.3),0.581146,0.811233,0.982022,32.000000,
rand,22,normal,0.237392,0.811119,0.982000,32.000000,
rand,22,rayleigh,0.710310,0.788606,0.982003,32.000000,
rand,22,gamma,0.424221,0.811116,0.981999,32.000000,
rand,22,huber (0.25),0.025369,0.000636,0.173524,32.000000,
rand,22,beta (0.3),0.595084,0.811116,0.981999,32.000000,
rand,23,normal,0.184698,0.811025,0.981982,32.000000,
rand,23,rayleigh,0.674751,0.788501,0.981985,32.000000,
rand,23,gamma,0.421758,0.810924,0.981977,32.000000,
rand,23,huber (0.25),0.025290,0.000636,0.173423,32.000000,
rand,23,beta (0.3),0.595302,0.811026,0.981982,32.000000,
rand,24,normal,0.191403,0.811045,0.981986,32.000000,
rand,24,rayleigh,0.632413,0.788489,0.981988,32.000000,
rand,24,gamma,0.436056,0.810948,0.981980,32.000000,
rand,24,huber (0.25),0.025999,0.000637,0.173732,32.000000,
rand,24,beta (0.3),0.586588,0.811040,0.981985,32.000000,
rand,25,normal,0.197309,0.811020,0.981981,32.000000,
rand,25,rayleigh,0.677041,0.788524,0.981985,32.000000,
rand,25,gamma,0.434099,0.810898,0.981975,32.000000,
rand,25,huber (0.25),0.037383,0.000635,0.173323,32.000000,
rand,25,beta (0.3),0.595746,0.811019,0.981981,32.000000,
rand,26,normal,0.197797,0.811160,0.982008,32.000000,
rand,26,rayleigh,0.666686,0.788642,0.982011,32.000000,
rand,26,gamma,0.407963,0.811159,0.982008,32.000000,
rand,26,huber (0.25),0.026107,0.000636,0.173530,32.000000,
rand,26,beta (0.3),0.595948,0.811158,0.982007,32.000000,
rand,27,normal,0.188794,0.811066,0.981990,32.000000,
rand,27,rayleigh,0.684948,0.788565,0.981993,32.000000,
rand,27,gamma,0.426190,0.811064,0.981989,32.000000,
rand,27,huber (0.25),0.025438,0.000636,0.173514,32.000000,
rand,27,beta (0.3),0.594449,0.811063,0.981989,32.000000,
rand,28,normal,0.236233,0.811052,0.981987,32.000000,
rand,28,rayleigh,0.651208,0.788534,0.981989,32.000000,
rand,28,gamma,0.414587,0.811042,0.981985,32.000000,
rand,28,huber (0.25),0.026926,0.000637,0.173823,32.000000,
rand,28,beta (0.3),0.589011,0.811041,0.981985,32.000000,
rand,29,normal,0.182234,0.811068,0.981990,32.000000,
rand,29,rayleigh,0.648054,0.788532,0.981993,32.000000,
rand,29,gamma,0.450417,0.811066,0.981990,32.000000,
rand,29,huber (0.25),0.025638,0.000636,0.173546,32.000000,
rand,29,beta (0.3),0.602268,0.811063,0.981989,32.000000,
rand,30,normal,0.191317,0.811124,0.982001,32.000000,
rand,30,rayleigh,0.663075,0.788576,0.982004,32.000000,
rand,30,gamma,0.395064,0.811016,0.981995,32.000000,
rand,30,huber (0.25),0.023218,0.000636,0.173625,32.000000,
rand,30,beta (0.3),0.577635,0.811120,0.982000,32.000000,
rand,31,normal,0.201321,0.811024,0.981982,32.000000,
rand,31,rayleigh,0.687221,0.788490,0.981984,32.000000,
rand,31,gamma,0.412140,0.810920,0.981976,32.000000,
rand,31,huber (0.25),0.025913,0.000636,0.173602,32.000000,
rand,31,beta (0.3),0.605640,0.811020,0.981981,32.000000,
rand,32,normal,0.194143,0.811088,0.981994,32.000000,
rand,32,rayleigh,0.654339,0.788543,0.981996,32.000000,
rand,32,gamma,0.381794,0.810983,0.981987,32.000000,
rand,32,huber (0.25),0.025115,0.000637,0.173885,32.000000,
rand,32,beta (0.3),0.577875,0.811079,0.981992,32.000000,
rand,33,normal,0.181083,0.811111,0.981998,32.000000,
rand,33,rayleigh,0.697044,0.788581,0.982002,32.000000,
rand,33,gamma,0.397776,0.811004,0.981992,32.000000,
rand,33,huber (0.25),0.024266,0.000636,0.173475,32.000000,
rand,33,beta (0.3),0.597148,0.811109,0.981998,32.000000,
rand,34,normal,0.187972,0.810912,0.981960,32.000000,
rand,34,rayleigh,0.633511,0.788426,0.981963,32.000000,
rand,34,gamma,0.409588,0.810795,0.981953,32.000000,
rand,34,huber (0.25),0.026786,0.000636,0.173626,32.000000,
rand,34,beta (0.3),0.598123,0.810906,0.981959,32.000000,
rand,35,normal,0.192099,0.811117,0.982000,32.000000,
rand,35,rayleigh,0.669975,0.788583,0.982002,32.000000,
rand,35,gamma,0.443002,0.811112,0.981999,32.000000,
rand,35,huber (0.25),0.025891,0.000636,0.173685,32.000000,
rand,35,beta (0.3),0.589902,0.811109,0.981998,32.000000,
rand,36,normal,0.233549,0.811139,0.982004,32.000000,
rand,36,rayleigh,0.630126,0.788565,0.982006,32.000000,
rand,36,gamma,0.382575,0.811026,0.981997,32.000000,
rand,36,huber (0.25),0.027222,0.000637,0.173668,32.000000,
rand,36,beta (0.3),0.576788,0.811132,0.982002,32.000000,
rand,37,normal,0.192499,0.811114,0.981999,32.000000,
